,property_name,link,society,price,area,areaWithType,bedRoom,bathroom,balcony,additionalRoom,address,floorNum,facing,agePossession,nearbyLocations,description,furnishDetails,features,rating,property_id,,,,,,
,1 BHK Flat in Thane West,https://www.99acres.com/1-bhk-bedroom-apartment-flat-for-sale-in-saket-complex-thane-west-mumbai-575-sq-ft-spid-I70007298,Saket Complex3.9 ★,75 Lac,"₹ 13,043/sq.ft.",Super Built up area 575(53.42 sq.m.),1 Bedroom,1 Bathroom,No Balcony,,"Thane West, Thane, Mumbai",7th   of 7 Floors,,10+ Year Old,"['Nandibaba temple', 'nilkanteshwar mandir', 'State bank of india ATM', 'Icici bank ATM', 'Shri Gajanan Netralaya', 'Highland Speciality Hospital', 'Dr Walvatkars Eye Care Center', 'Dr Jyotsna Jagtaps Ent Hospital and Hearing Aid Centre', 'Navjeewan Hospital', 'Smiles Unlimited Dental Clinic', 'Care and Cure Clinic', ""Dr. Ravi's Clinic Nursing Home and New Born Centre"", 'Aditya Orthopedic Hospital', 'Sparsh Maternity and Nursing Home', 'Sai Ashutosh Hospital', 'Shree Eye Hospital', 'The Origin International Fertility Centre', 'Infinity Medisurge Centre Speciality Hospital', 'Dentales', 'Wellness Forever 24Hrs open', 'Kailash', 'Cinemax -WonderMall', 'CinemaStar', 'State bank of india', 'Yes bank', 'Tjsb sahakari bank', 'Standard chartered bank', 'Kotak mahindra bank', 'Union bank of india', 'New india bank', ""Domino's"", 'The KKP Restaurant', ""De'Crepes Cafe"", 'Veg Sizzlers', ""Chap's Tasty Chinese"", 'Biryani Binge', 'SD Foods', 'Ajay Tandoor Corner', 'China Bristo', 'The Kitchen', 'Sai Vihar Family Restaurant & Bar', 'Riviera', 'Katty Rolls', 'Yello', 'RB Rolls', 'Shwarmaji', 'Shahi Kolkata Roll', 'Food For Foodies', 'anmol vidhya mandir school']","Situated at prime location in majiwada, saket complex is well connected to mumbai, navi mumbai and pune.",,"['Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Park', 'Visitor Parking']","['Management3.9 out of 5', 'Connectivity3.7 out of 5', 'Amenities3.8 out of 5', 'Construction4.1 out of 5', 'Green Area3.9 out of 5']",I70007298,,,,,,
,2 BHK Flat in Mahavir Nagar,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-anant-bhoomi-mahavir-nagar-mumbai-andheri-dahisar-816-sq-ft-spid-F68428624,Anant Bhoomi,2.6 Crore,"₹ 31,862/sq.ft.",Carpet area: 816 (75.81 sq.m.),2 Bedrooms,2 Bathrooms,No Balcony,,"Mahavir Nagar, Mumbai Andheri-Dahisar, Mumbai",6th   of 28 Floors,East,0 to 1 Year Old,"['SMVS Swaminarayan Temple', 'Kotak mahindra bank ATM', 'Idbi bank ATM', 'Union bank ATM', 'Canara bank ATM', 'State bank of india ATM', 'United bank of india ATM', 'Rbl bank ATM', 'Dhanukar Wadi Dispensary', 'Parvatibai Chavan Charitable Trust', 'Grace Maternity and Nursing Home - Kandivli W', 'Noble Hospital Mumbai', 'Raichura Prasuti Gruha', ""Dr. Vora's Premature Critical Care and General Hospital"", 'Medicenter Nursing Home', 'Arya Womens Health Care Centre Surgical and Maternity Home', 'Nidhi Nursing Home and Iccu', 'Panorama Eye Clinic Superspeciality Eye Care', 'Paras Nursing Home', 'Paarth Hospital', 'Aayush Nursing Home', 'Vrindavan Nursing Home', 'Anand Nursing Home Kandivali', 'Aditya Eye Clinic Kandivali', 'Sai Vilayatrai Charitable Polyclinc', 'Ankur Hospital Kandivali', 'Hi-Tech Urology Centre', 'Shreeji Kripa Surgical Center Icu and Nursing Home', 'Charkop Maternity Home', 'Surana Hospital and Research Centre Mumbai', ""Dr. Disha's Homoeopathy"", 'Dwarkesh Nursing Home', 'Jobanputra Clinic', 'Petrol Pump', 'Union bank', 'Corporation bank', 'Indian bank', 'Nityananad Bar & Restaurant', 'Starbucks', 'Pizza Hut', 'CCD - Cafe Coffee Day', 'Sankalp', 'jinus corner', 'Savor Family Resto Bar', 'Bhagwati', 'Modern sweets and farsan', ""Domino's"", 'Kokan Kinara', 'K.E.S Shroff college ground', 'Shri tp bhatia college']","We are the proud owners of this 2 bhk apartment available in anant bhoomi, mahavir nagar, mumbai andheri-Dahisar. This it is a and the unit is located on 6th floor and has a super built-Up area of 816 sq.Ft. . It has 2 bathroom(s). The ownership is freehold type.",,,"['Lifestyle4.3 out of 5', 'Connectivity4.5 out of 5', 'Safety4.3 out of 5', 'Environment4 out of 5']",F68428624,,,,,,
,2 BHK Flat in Badlapur West,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-pawar-complex-badlapur-west-mumbai-beyond-thane-865-sq-ft-r1-spid-H65241630,Pawar Complex,31 Lac,"₹ 3,583/sq.ft.",Built Up area: 865 (80.36 sq.m.),2 Bedrooms,2 Bathrooms,3+ Balconies,,"Badlapur West, Mumbai Beyond Thane, Mumbai",5th   of 6 Floors,East,10+ Year Old,"['Hanuman Mandir', 'Swami Samarth Math', 'Mahalaxmi Mandir', 'Mahakali Mandir', 'Datta Mandir', 'Ganapti Mandir', 'Ambamata Mandir', 'Saibaba Mandir', 'Ganesh Mandir', 'Ram Maruti Mandir', 'Union bank of india ATM', 'Sbi ATM', 'Hdfc bank ATM', 'Bank of baroda ATM', 'Ashka Hospital', 'Aashirwad Hospital', 'Spandan Hospital', 'Newlife Hospital & Maternity Home', 'Sai Krupa Hospital', 'Ashwini Charitable Trust Hospital', 'Mamata Hospital.', ""Deshmukh Children's Hospital"", 'Vatsalya Maternity and Surgical Hospital', 'Dube Hospital', ""Sparsh Children's Hospital"", 'Maxcare Multispeciality Hospital', 'Rathod Hospital and Ccu', 'Sfurti Multispeciality Hospital', 'Urmi Eye Clinic and Phaco Centre', 'Matrix Hospital', 'Dhanvantari Hospitals Pvt.Ltd.', 'Dristhi Eye Hospital', ""Swanand Children's Hospitals"", 'Apollo Pharmacy', 'Guardian Pharmacy', 'Bank of india', 'Kotak mahindra bank', 'Hdfc bank', 'Bank of maharashtra', 'Canera bank', 'Dns bank', 'Vaishali Talkies', 'Monalisa', 'Hotel Gurudev', 'Navaratna', 'Hotel Ambika', 'Matoshree Hotel', 'Hotel Atithi', 'Badlapur railway station', 'Grantha sakha. library']","This property comes at well known location of badlapur west at pawar complex, which is 4 mins away from badlapur station by auto. One shall feel pleasant throughout the day due to ample natural light & fresh air. It gives unobstructed view of hills from bedroom. School & grocery mart is also located within complex area. Sbi, boi, other reputed banks are in nearby.",,"['Lift(s)', 'Visitor Parking', 'Natural Light', 'Airy Rooms']","['Lifestyle4.1 out of 5', 'Connectivity4.3 out of 5', 'Safety4 out of 5', 'Environment4.3 out of 5']",H65241630,,,,,,
,1 BHK Flat in Panvel,https://www.99acres.com/1-bhk-bedroom-apartment-flat-for-sale-in-tejas-vastupurti-panvel-navi-mumbai-665-sq-ft-r1-spid-E67461302,Tejas Vastupurti,36.5 Lac,"₹ 5,037/sq.ft.",Built Up area: 665 (61.78 sq.m.),1 Bedroom,2 Bathrooms,3 Balconies,,"Panvel, Navi Mumbai, Mumbai",3rd   of 3 Floors,North-West,1 to 5 Year Old,"[""St George's Syro Catholic Malabar Church"", 'Khandeshwar Shiva Temple', 'Hdfc bank ATM', 'Idbi bank ATM', 'Arunodaya Clinic', 'Panacea Hospital', 'Dr. Nalavade Clinic', 'Arunodaya Hospital', 'Dr. Subhash Singh Hospital', 'Pioneer Hospital', ""Nair's Eye Clinic"", 'Shri Ramkrishna Nursing Home', 'Khandekar Hospital', 'Pawal Clinic', 'Krishna Nursing Home Thane', 'Kulkarni Nursing Home Raigarh', 'Aayushman Hospital', 'Priyanka Eye Clinic', 'Neel Clinic', 'Dr. Dipalee Mane Hospital', 'Janeshwari Brain and Spinte Centre Swati Maternity', 'Ramtirth Dental Clinic', 'Padalkar Hospital & SICU', 'Jnaneshwari Accident Hospital Brain & Spine Centre', 'Mother and Child Care Clinic', 'Prism Eye Institute and Reseach Centre', 'Sai Child Care Clinic', 'Dr. Khandekar Accident Clinic', 'Ashtvinayak Hospital', 'Thombare Hospital', 'Madhavbaug Clinic', 'Spandan Hospital and Research Centre Raigarh', 'Shelar Hospital', 'Indian Oil', 'Axis bank', 'Punjab national bank', 'Union bank', 'Icici bank', 'Idbi bank', 'Hdfc bank', 'Federal bank', 'Bank of india', 'Andhra bank', 'Siciliano', 'Neelkamal', 'Ribbons & Ballons', 'Choco cream', 'Binger', 'King of Rolls', 'Bhatia School']","Spacious rooms, balcony for every room, greenery environment, amazing waterfall view. Best construction in adai. Ganesh mandir in society. Located near shiv mandir and adai lake. Central area from panvel and khandeshwar railway station. Nearby daycares also available.",,"['Security / Fire Alarm', 'Lift(s)', 'Water Storage', 'Park', 'Visitor Parking', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Fitness Centre / GYM']","['Lifestyle4.2 out of 5', 'Connectivity4.3 out of 5', 'Safety4.2 out of 5', 'Environment4 out of 5']",E67461302,,,,,,
,1 BHK Flat in Palava City By Lodha,https://www.99acres.com/1-bhk-bedroom-apartment-flat-for-sale-in-mumbai-thane-848-sq-ft-r2-spid-Y48089501,Casa Rio Gold,37.5 Lac,"₹ 4,422/sq.ft.",Super Built up area 848(78.78 sq.m.)Built Up area: 693 sq.ft. (64.38 sq.m.)Carpet area: 460 sq.ft. (42.74 sq.m.),1 Bedroom,2 Bathrooms,3 Balconies,"Pooja Room,Others","Genevieve E0006gr, Palava City By Lodha, Thane, Mumbai",Ground of 7 Floors,East,1 to 5 Year Old,"['Khidkali Mahadev Mandir', 'Shree Manav Kalyan Hospital', ""Ratnadeep Children's Hospitals"", 'Bijankur Hospital', 'MGM Hospital', 'HP PETROL PUMP - SAI PETROLEUM -', 'H P Katai Petrol Pump', 'Hotel Chetna', 'Hotel Kokan Ratna', 'HOTEL Kushala Paradise', 'Nilaje railway station']","We are the proud owners of this 1 bhk of 460 carpet and independent garden of more than 148 sq ft. Apartment available in casa rio gold, palava city by lodha, mumbai thane. This unfurnished apartment is a 1-5 year old, priced approximately at rs. 4422 per sq. Ft. Or rs. 37. 5 lakhs. Near nilje station extra balcony of 150 square feet and safety grills to hole house. Is a resale and a ready to move in apartment. The unit is located on the ground floor and has a super built-Up area of 848. 0 sq. Ft. It has 2 bathroom(s) and 3 balcony(s). The ownership is freehold type. The apartment has 1 open parking.",,,,Y48089501,,,,,,
,1 BHK Flat in YK Nagar,https://www.99acres.com/1-bhk-bedroom-apartment-flat-for-sale-in-star-sheraton-y-k-nagar-mira-road-and-beyond-800-sq-ft-spid-M69749774,Star Sheraton,42 Lac,"₹ 5,250/sq.ft.",Super Built up area 800(74.32 sq.m.),1 Bedroom,2 Bathrooms,2 Balconies,,"D-703, YK Nagar, Mira Road And Beyond, Mumbai",7th   of 7 Floors,East,1 to 5 Year Old,"['Virat Vinayajk Mandir', 'Shree Shree Kalimata Mandir', 'Sbi ATM', 'Icici bank ATM', 'Ujjwal small finance ATM', 'Indisind bank ATM', 'Corporation bank ATM', 'Axis bank ATM', ""Swati's Womens Health Care Clinic"", 'City Multispecility I. C. U. Hospital', 'Mahavir Nursing Home', 'Param Maternity and Surgical Nursing Home', 'Sanjivani Hospital', ""Dr. Joshi Children's Hospital"", 'Vijay Ent Hospital and Diagnostic Center', 'Dr. Laxman N. Prabhu Hospital', 'Virar Maternity and Nursing Home', 'Siddharth Hospital', 'Ankur Paediatric Hospital and Premature Baby Unit', 'Saibaba Hospital', 'Jivadani Hospital', 'Shreepal Netralaya', 'Shubham Lifeline Multispeciality Hospital', 'Anusaya Children Hospital', 'Tondare Hospital', 'Omkar Orthopaedic Hospital', 'Sankalp Hospital and Iccu', 'Paras Hospital', 'Shree Balaji Hospital', 'Abhyuday Maternity Home', 'Saarthak Maternity and Nursing Home', 'Ashasuman Hopital', 'Aastha Children Hospital', 'Sahayog Hospital And Research Centre', 'Shree Sai Nursing Home', 'Parimal Hospital', 'Gurukrupa Hall', 'Royal chemist', 'Manya Medico', 'Mahavir Mdicals and General Store', 'Metro Chemists', 'Corporation bank', ""McDonald's"", 'Pizza Hut', 'Divya foods', 'Sagar', 'Angelic Bakery', ""Expert's International School"", 'New Viva College', 'Virar railway station']","One of the well-Developed areas of north mumbai, virar is highly sought-After owing to its prime location. The divekar hospital and the expert's international high school are both within 5 minutes' walk from the star sheraton complex. It also has dmart, big bazar, west side and mcdonalds in the nearby vicinity.
This property is only 7mins from virar railway station by rickshaw and is very well maintained gated community with cctv camera, children playground, biometric entry for residents, lift and designated parking area.","['3 Fan', '1 Geyser', '3 Light', '1 Modular Kitchen', '1 AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Security / Fire Alarm', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms']",,M69749774,,,,,,
,2 BHK Flat in Nallasopara,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-nallasopara-mira-road-and-beyond-740-sq-ft-spid-F68419538,Indralok housing society,33.5 Lac,"₹ 4,527/sq.ft.",Built Up area: 740 (68.75 sq.m.),2 Bedrooms,2 Bathrooms,No Balcony,,"Nallasopara, Mira Road And Beyond, Mumbai",2nd   of 2 Floors,,10+ Year Old,"['Gavmata Jyotish Temple', 'Uco bank ATM', 'Tate Hospital', 'Krishna Hospital Nallasopara', 'Alliance Hospital', 'Jivdani Hospitals Pvt. Ltd Alliance Hospital', 'Aastha Dental Clinic', 'Sneha Hospital', 'Ashirwad Nursing Home', 'Atharva Hospital', 'Patil Hospital', 'Lilavti Hospital', 'Al-Hasan Children Hospital', 'Mamta Nursing Home', 'Dr. Yadav Hospital for Women', 'Om Sai Hospital', 'Hatalkar Hospital', 'Rajsukh Medical Care Unit', ""Dr Dandawate's Sushrut Hospital"", 'Madhushalini Clinic', ""Ashwini Children's Hospital"", 'baba hospital', 'Mahaveer Nursing Home', 'Gupta Clinic', 'Garden View Nursing Home', 'Rakiya Ortho Hospital', 'Sane Nursing Home', 'Panchasheel Clinic', 'Ranjua', 'Neminath Hospital', ""Vinay Raghuvanshi's Nursing Home"", 'Sterling Hospital & ICU', 'Manorama Nursing Home', 'VVMC Sarvoday vasahat', 'Aarna Skin Clinic', ""Apollo Children's Hospital"", 'VVMC Achole', 'Laxminarayan Hospital', 'Manorma Hospital', 'Balaji Medical Store', 'Hdfc bank', 'Fun Fiesta Cinema', 'Jay Ambe Bhelpuri and Colddrink centre', 'Vishwas Chinese Restaurant', 'Panjabhi Dhaba', 'Gagan Angel', 'Divine Providence High School', 'St. Aloysius High School', 'Nalla sopara railway station', 'Nalla sopara railway station']",Its a big 2bhk apartment in nalasopara west.,,['Water Storage'],"['Lifestyle3.9 out of 5', 'Connectivity4.2 out of 5', 'Safety3.8 out of 5', 'Environment3.9 out of 5']",F68419538,,,,,,
,3 BHK Flat in Seawoods,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-l-and-t-seawoods-residences-sea-woods-navi-mumbai-900-sq-ft-spid-W70176084,L and T Seawoods Residences,2.8 Crore,"₹ 31,111/sq.ft.",Carpet area: 900 (83.61 sq.m.),3 Bedrooms,3 Bathrooms,3 Balconies,Pooja Room,"Seawoods, Navi Mumbai, Mumbai",6th   of 18 Floors,East,1 to 5 Year Old,"['Seawoods - Darave Railway Station', 'Belapur Terminal Metro Station', 'Nexus Seawoods', 'Palm Beach Road', 'Uran Road', 'Podar International School', 'D Y Patil University', 'Seawoods Hospital', 'Chhatrapati Shivaji Maharaj Int. Airport', 'Loma IT Park']","L and t seawoods residences is one of navi mumbai's most sought after destination for apartments and this 3 bhk flat in seawoods is your opportunity to be a part of this community. This residential flat is north-East-Facing direction. The flat occupies a carpet area of 900 sq.Ft. That consists of 3 bedrooms, 3 bathrooms and 3 balconies. The residential building has 18 floors in total and the flat for sale is located on the 8th floor. Being a ready to move project, you can expect immediate possession of this 0-1 year old property. The flat comes well built with vitrified flooring options. The flat will offer a modern lifestyle as it is presented with many of the amenities such as swimming pool, club house / community center, fitness centre / gym, park, lift(s) and maintenance staff. The housing society ensures a continuous supply of water to your flat from municipal corporation.
 Additional details :Piped gas facility is available in the property.
The apartment has borings water supply.
Daily needs shopping could be done within the society premises to make the stay convinent.
Full power backup is available.
There is also a separate washroom for domestic help.
The society has dedicated security guards for every tower.",,"['Security / Fire Alarm', 'Intercom Facility', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'Water Storage', 'No open drainage around', 'Swimming Pool', 'Park', 'Fitness Centre / GYM', 'Waste Disposal', 'Rain Water Harvesting', 'Club house / Community Center']","['Lifestyle4.5 out of 5', 'Connectivity4.5 out of 5', 'Safety4.4 out of 5', 'Environment4.3 out of 5']",W70176084,,,,,,
,2 BHK Flat in Sector 16 Ulwe,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-satyam-mayfair-sector-16-ulwe-mumbai-navi-1200-sq-ft-spid-P70070524,Satyam Mayfair,1.2 Crore,"₹ 15,584/sq.ft.",Built Up area: 1200 (111.48 sq.m.)Carpet area: 770 sq.ft. (71.54 sq.m.),2 Bedrooms,2 Bathrooms,2 Balconies,Pooja Room,"Sector 16 Ulwe, Navi Mumbai, Mumbai",9th   of 13 Floors,South-West,1 to 5 Year Old,"['Kharkopar railway station', 'Baman-dongri railway station', 'Baman-dongri railway station']","Check out this 2 bhk apartment for sale in satyam mayfair, a popular residential project that houses in-Demand flats in sector 16 ulwe, navi mumbai. This residential flat is north-East-Facing direction. The floor plan additionally contains 2 bedroom(s), 2 bathrooms and 2 balconies. All in all, the flat is spread over a built up area of 1200 sq.Ft. This flat lies on the 8th level of a 13 storey building. An added advantage of this 1-5 years old flat is that it is available for immediate possession as the project is already ready to move. The floor of this flat is beautifully designed using vitrified flooring, giving the flat an alluring look. Satyam mayfair is designed very well to provide modern facilities such as swimming pool, cctv surveillance, club house / community center, fitness centre / gym, park, lift(s), visitor parking and maintenance staff. The residential project is well equipped to meet all your water needs through access to municipal corporation supply.
 Additional details :Piped gas facility is available in the property.
The apartment has borings water supply.
Daily needs shopping could be done within the society premises to make the stay convinent.
Full power backup is available.
There is also a separate washroom for domestic help.
The society has dedicated security guards for every tower.",,"['Security / Fire Alarm', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'No open drainage around', 'Piped-gas', 'Visitor Parking', 'Swimming Pool', 'Park', 'Fitness Centre / GYM', 'Waste Disposal', 'Rain Water Harvesting', 'Club house / Community Center']",,P70070524,,,,,,
,2 BHK Flat in Sector 17 Ulwe,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-platinum-emporius-sector-17-ulwe-mumbai-navi-1185-sq-ft-spid-U70066908,Platinum Emporius,1.26 Crore,"₹ 10,632/sq.ft.",Built Up area: 1185 (110.09 sq.m.),2 Bedrooms,2 Bathrooms,2 Balconies,Pooja Room,"Sector 17 Ulwe, Navi Mumbai, Mumbai",6th   of 14 Floors,South-West,1 to 5 Year Old,"['Bamandongri and Kharkopar', 'Upcoming Navi Mumbai Metro Rail', 'Palm Beach Road', 'Upcoming Nhava- Sewri Sea Link', 'Upcoming International Airpot', 'Ram Seth Thakur International Complex']","Check out this 2 bhk apartment for sale in platinum emporius, a popular residential project that houses in-Demand flats in sector 17 ulwe, navi mumbai. This residential flat is north-East-Facing direction. The flat occupies a built up area of 1185 sq.Ft. That consists of 2 bedrooms, 2 bathrooms and 2 balconies. The flat has a total of 14 floors and this property is situated on 6th floor. This 1-5 years old property is available for immediate possession as the project is ready to move. The vitrified flooring of this flat is beautifully designed and helps to give it a pleasing look. The society is well equipped with many modern amenities, including swimming pool, fitness centre / gym, park, lift(s), maintenance staff and visitor parking. The residential project is well equipped to meet all your water needs through access to municipal corporation supply.
 Additional details :Piped gas facility is available in the property.
The apartment has borings water supply.
Daily needs shopping could be done within the society premises to make the stay convinent.
Full power backup is available.
There is also a separate washroom for domestic help.
The society has dedicated security guards for every tower.",,"['Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'No open drainage around', 'Piped-gas', 'Visitor Parking', 'Swimming Pool', 'Park', 'Fitness Centre / GYM', 'Waste Disposal', 'Rain Water Harvesting']","['Lifestyle4.1 out of 5', 'Connectivity4.1 out of 5', 'Safety3.9 out of 5', 'Environment4 out of 5']",U70066908,,,,,,
,2 BHK Flat in Sector 18 Ulwe,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-lakhani-royale-sector-18-ulwe-mumbai-navi-1180-sq-ft-spid-C70067086,Lakhani Royale,97 Lac,"₹ 8,220/sq.ft.",Super Built up area 1180(109.63 sq.m.),2 Bedrooms,2 Bathrooms,2 Balconies,Pooja Room,"Sector 18 Ulwe, Navi Mumbai, Mumbai",4th   of 12 Floors,North,1 to 5 Year Old,"['Nerul Sector NMMT Bus Depot', 'Baman-dongri railway station', 'Baman-dongri railway station', 'Kharkopar railway station', 'Targhar railway station']","This lovely 2 bhk apartment/flat in sector 18 ulwe is available for sale in one of navi mumbai's most popular projects, lakhani royale. The flat is north-East-Facing. Containing 2 bedroom(s), 2 bathrooms and 2 balconies, this flat is spread over a super built up area of 1180 sq.Ft. This flat is situated on the 4th floor of this 12 floors tall residential building. An added advantage of this 1-5 years old flat is that it is available for immediate possession as the project is already ready to move. The vitrified flooring of this flat is beautifully designed and helps to give it a pleasing look. All the modern amenities such as fitness centre / gym, park, lift(s), visitor parking and maintenance staff will make life easier for you. The residential project is well equipped to meet all your water needs through access to municipal corporation supply.
 Additional details :Piped gas facility is available in the property.
The apartment has borings water supply.
Daily needs shopping could be done within the society premises to make the stay convinent.
Full power backup is available.
There is also a separate washroom for domestic help.
The society has dedicated security guards for every tower.",,"['Security / Fire Alarm', 'Power Back-up', 'Intercom Facility', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'Water Storage', 'No open drainage around', 'Visitor Parking', 'Park', 'Fitness Centre / GYM', 'Waste Disposal', 'Rain Water Harvesting']",,C70067086,,,,,,
,4 BHK Flat in Parel,https://www.99acres.com/4-bhk-bedroom-apartment-flat-for-sale-in-l-and-t-crescent-bay-parel-south-mumbai-3500-sq-ft-spid-P70233348,L and T Crescent Bay4.3 ★,10.2 Crore,"₹ 37,777/sq.ft.",Super Built up area 3500(325.16 sq.m.)Built Up area: 3100 sq.ft. (288 sq.m.)Carpet area: 2700 sq.ft. (250.84 sq.m.),4 Bedrooms,5 Bathrooms,3+ Balconies,"Store Room,Servant Room","1111, Parel, South Mumbai, Mumbai",46   of 59 Floors,West,1 to 5 Year Old,"['Mumbai Sewri Railway Station', 'Ambedkar Nagar Metro Station', 'Phoenix Palladium Mall', 'Eastern Fwy', 'Fatima High School', 'M D College', 'King Edward Memorial Hospital', 'CSM Intl Airport', 'One World Center', 'ITC Grand Central', 'The Bombay Presidency Golf Club', 'Wankhede Stadium', 'Prabhadevi Beach']","4bhk 2700 carpet with balconies in all the rooms.
 Additional details :Piped gas facility is available in the property.
The apartment has borings water supply.
Daily needs shopping could be done within the society premises to make the stay convinent.
Full power backup is available.
There is also a separate washroom for domestic help.
The society has dedicated security guards for every tower.",,"['Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Separate entry for servant room', 'No open drainage around', 'Piped-gas', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Internet/wi-fi connectivity', 'Fitness Centre / GYM', 'Waste Disposal', 'Rain Water Harvesting', 'Club house / Community Center']","['Management4 out of 5', 'Connectivity4.2 out of 5', 'Amenities4.5 out of 5', 'Construction4.4 out of 5', 'Green Area4.4 out of 5']",P70233348,,,,,,
,1 BHK Flat in Waghbil,https://www.99acres.com/1-bhk-bedroom-apartment-flat-for-sale-in-squarefeet-green-square-waghbil-mumbai-thane-543-sq-ft-spid-J70847990,Squarefeet Green Square,48 Lac,"₹ 8,839/sq.ft.",Super Built up area 543(50.45 sq.m.)Carpet area: 400 sq.ft. (37.16 sq.m.),1 Bedroom,1 Bathroom,No Balcony,,"Waghbil, Thane, Mumbai",12nd   of 14 Floors,East,5 to 10 Year Old,"['Dhanlaxmi Shopping', 'Ganesh Mandir', 'ganesh temple', 'Axis bank ATM', 'Standard chartered bank ATM', 'Citibank ATM', 'Bank of baroda ATM', 'Icici ATM', 'Bank of maharashtra ATM', 'Kevalya Hospital', 'Maheshwari Multispeciality Hospital', 'Janani Nursing Home & Hospital', 'Currae Hospital', 'Dr. Darandale', 'Dr. Maheshwari Hospital', 'Shiv Drushti Eye & Dental Hospital Clinic', 'Manasi Maternity & General Hospital', 'K. M. C.Nursing Home and Polyclinic', 'Horizon Prime Hospital', 'Dhanwantri Hospital', 'Shree Ram Hospital', 'Arcadia Chemist', 'Axis bank', 'Indian overseas bank', 'Union bank atm', ""Natural's Ice Cream"", 'KFC', 'Pizza Hut', 'Starbucks', 'Ribbons & Balloons Cake Shop', ""D'Crepes"", 'Spice Up', 'Barbeque Nation', ""McDonald's"", 'Dominoz Pizza', 'Hiranandani Foundation School', 'Arun Muchhala polytechnic college', 'MaChePhy Eduworld', 'Universal high school', 'Orchids The International School Thane']","This 1 bhk apartment is available for sale in squarefeet green square, one of the most prominent projects for flats in waghbil, thane. Constructed on a super built up area of 543 sq.Ft., the flat comprises 1 bedroom(s), 1 bathroom . The flat has a total of 14 floors and this property is situated on 12th floor. An added advantage of this 5-10 years old flat is that it is available for immediate possession as the project is already ready to move.
 Additional details :Piped gas facility is available in the property.
The apartment has borings water supply.
Daily needs shopping could be done within the society premises to make the stay convinent.
Partial power backup is available.
The society has dedicated security guards for every tower.",,"['Feng Shui / Vaastu Compliant', 'Security / Fire Alarm', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Park', 'Visitor Parking']","['Lifestyle4 out of 5', 'Connectivity4.1 out of 5', 'Safety3.9 out of 5', 'Environment4.1 out of 5']",J70847990,,,,,,
